campaign_id,campaign_name,objective,buying_type,bid_strategy,effective_status,delivery,daily_budget_CAD,created,updated,cur_spend_CAD,cur_impr,cur_reach,cur_freq,cur_cpm,cur_clicks,cur_ctr_pct,cur_cpc,cur_link_clicks,cur_link_ctr_pct,cur_cost_per_lc,cur_leads,cur_CPL,prev_spend_CAD,prev_impr,prev_freq,prev_cpm,prev_ctr_pct,prev_link_clicks,prev_leads,prev_CPL
120236033059700472,Dec 10 F+H,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",100.0,10 December 2025,14 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120235806142320472,Static Ad,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",10.0,6 December 2025,19 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120235755465320472,New Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,5 December 2025,23 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120235547578740472,New Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,2 December 2025,5 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120235546426030472,New Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,2 December 2025,5 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120235545113350472,New Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",36.0,2 December 2025,10 December 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234975040700472,22nd November Water Heat/Softner Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",10.0,22 November 2025,26 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234972241840472,22nd November Furnace Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",10.0,22 November 2025,26 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234923729400472,22nd November Service Leads campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",10.0,22 November 2025,26 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234651074790472,New Content Cam,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",40.0,17 November 2025,22 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234550425160472,New Content Leads - 16/11,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,15 November 2025,17 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234302169040472,Ecocare calls,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",15.0,11 November 2025,19 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234153903020472,Ecocare messaging,OUTCOME_ENGAGEMENT,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,8 November 2025,8 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120234110880200472,Ecocare messaging 8/11,OUTCOME_ENGAGEMENT,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,7 November 2025,8 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233778737160472,Ecocare awareness 3/11,OUTCOME_AWARENESS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,2 November 2025,18 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233702998800472,North  31/10,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",70.0,31 October 2025,6 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233591960480472,Ecocare leads - 6/11,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",50.0,29 October 2025,16 November 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233387764190472,Strategy 2 Aadi,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",70.0,27 October 2025,27 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233366128370472,Aadi's Campaign,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,27 October 2025,30 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233218269910472,traffic_lexi ad,LINK_CLICKS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,24 October 2025,27 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120233204736430472,leads_EcoCare HVAC Services.,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,24 October 2025,24 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120232725083980472,ECOCARE-heatpump-furnace – new campaign,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",27.0,26 October 2025,27 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120232474289320472,"Heat-Pump Lead Gen – GTA – OCTOBER 15, 2025",OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",27.0,15 October 2025,24 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231926389690472,"Water Heater Lead Gen – GTA – OCTOBER 4, 2025",OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,3 October 2025,27 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231921963550472,BT - EHC - Leads - Age Groups PlFR - Test - 4,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,3 October 2025,5 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231871570190472,BT - EHC - Leads - Age Groups PlFR - Test - 3 - Copy,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,2 October 2025,2 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231871570130472,BT - EHC - Leads - Age Groups PlFR - Test - 3 - Copy,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,2 October 2025,2 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231830517840472,BT - EHC - Leads - Age Groups PlFR - Test - 3,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,1 October 2025,5 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231768015900472,BT - EHC - Leads CPG - A45 - WiCr - 3,OUTCOME_LEADS,AUCTION,Cost per result goal,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,30 September 2025,3 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231598077410472,BT - EHC - Leads - A45 - WiCr,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,27 September 2025,2 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120231367388670472,BT - EHC - Leads - Age Groups - Test,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,23 September 2025,2 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120230039968990472,Leads,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,27 August 2025,27 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229955918390472,26 august –engaged with ad,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",15.0,26 August 2025,27 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229955380220472,26 august – custom audience - Tailored leads campaign  Campaign,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,26 August 2025,26 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229816795570472,23 aug 2025,OUTCOME_ENGAGEMENT,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",5.0,23 August 2025,31 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229780846080472,22 august –who we are,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,22 August 2025,25 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229779535500472,22 august – furnaces,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,22 August 2025,28 October 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229777504450472,22 august,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,22 August 2025,23 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120229421642290472,18 August - Leads,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,18 August 2025,22 August 2025,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
